,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1971, , , , , , , , , , , , , , , , , , , , , , , , 
1972,126,140,140,77,70,140,140,105,126,147,98,126,105,91,84,91,105,98,70,133,133,140,112,112
1973, , ,161, , , , , , , , , , , , , , , ,127, , ,140, , 
1974,148,148,140,134,141,134,127,148, , ,127, , , , , , , ,127,154,155, , , 
1975,147,154,140,168,168, ,168, , ,168, ,140,154,154,133,168,140,140,126,154,133, , , 
1976,154,168,133,154,154,168,168,126,147,175,140,168,140,154,154,140,168,175,112,154,154,133,140,147
1977,119,182,154,154,154,175,182,147,161, , ,182,147, , ,154, , ,119,168,175,161,168,161
1978,140,161,105,98,91,154,175,105,168,168,126,175,168,112,112,140,112,154,98,147,147,154,140,140
1979,140,168,119,154,161,133,119,140,147,182,133,140,175,161,119,126,147,182,126,207,207,133,161,182
1980,147,171,112,154,126,147,161,175,168,182,140,154,140,133,161,206,199,199,112,175,182,168,168,168
1981,160,185,133,168,175,161,220,182,133,234,175,182,182,154,193,193,189,154,105,198,213,181,161,193
1982,161,161,98,147,154,161,161,161,119,161,133,154,168,205,168,154,205,154,98,177,140,119,154,161
1983,119,184,119,133,147,147,154,147,133,154,126,112,168,126,119,126,119,112,105,126,140,35,112,126
1984,199,184,105,137,137,133,168,158,133,206,112,105,126,98,133,164,112,151,98,119,199,206,147,158
1985,133,183,126,133,133,154,133,168,126,245,154,159,173,180,166,173,133,173,126,190,126,140,201,180
1986,168,169,133,119,140,147,154,133,140,207,119,147,154,126,154,147,154,154,112,155,162,169,147,168
1987,179,179,98,154,112,168,175,168,168,175,126, , ,119, , ,147,154,91,140,168,154,154, 
1988,175,175,119,161,161,140,168,140,182,182,154,182,175,140,147,147,154,133,133,210,161,168,168,182
1989,133,154,147,119,119,133,175,175,182,189,175,182,189,140,154,147,140,147,133,182,182,175,175,175
1990,91,105,105,98,112,105,126,195,119,154,195,154,161,195,168,154,188,175,105,119,167,167,154,189
1991,133,187,140,154,126,154,194,133,140,187,140,133,147,112,133,147,119,133,105,140,187,133,147,161
1992,140,161,140,147,126,161,161,140,154,161,119,154,140,112,140,154,105,91,105,154,140,105,147,140
1993,98,105,119,140,184,133,140,168,133,140,147,175,175,147,175,133,147,140,119,105,98,119,154,147
1994,161,210,133,190,175,126,210,119,161, , , , , , , , , ,112,154,154,154,190, 
1995,154, ,133,168,161,147,168,196,161,216,196, , ,140, , ,175,196,154,147, , ,175, 
1996,182,194,147,147,147,147,196,161,161, ,140,168,154,133,154, ,147,126,126,182,175,147,207,194
1997, , ,144,154,172,158, ,200,144, ,144, ,158,144, , , , ,151, ,137, , , 
1998, , , , , , , , , , , , , , , , , , , , , ,200,183, 
1999, , ,142,154,154, , , , , , , , , , , , , ,133, ,214,161,174, 
2000,183,214,140,169,169,169,200,165,196, ,165, , , , , , , ,133,240,200, ,169, 
2001,192,209,154,147,175,175,209,175,223,223,175,175,182,168,199,199,168,209,147,223,223,199,175, 
2002,189,222,154,175,175,182,203,175,203,217,168,168,154,161,154,154,154,133,154,222,203,161,210,203
2003,190,235,147,168,182,207,221,197,221, ,175, , ,197, , ,176,190,154,204,221,175, , 
2004,181,188,133,154,147,154,195,219,182,219,147,189,196,205,195,212,205,205,154,189,140,161,212,209
2005,232,225,147,168,194,168,189,225,168,189,194,189,189,161,208,189,161,211,133,140,175,218,232,208
2006, ,217,161,210,196,210,217,217,210,224,196,210, ,231, ,189,175,182,161,217,224,196,217, 
2007,224,210,133,196,154,182,217,168,189,238,161,196,161,189,154,168,154,168,126,210,224,189,168,217
2008,161,140,147,182,189,161,189,210,168,203,168,196,217,168,217,245,189,175,133,133,147,175,182,210
2009,210,224,140,196,147,189,231,168,189,238,168,161,182,210,175,196,210,203,140,196,210,182,168,182
2010, , ,182,245, , , , , , , , , , , , , , , , , , , , 
2011, , ,161,245,189, , ,203,189, ,224, , ,252,224,231,217,203,147, , ,245,217, 
2012,252,252,154,210,189,210,245,203,245,252,196,196,196,182,210,182,189,189,112,252,259,168,196, 
2013,182,189,140,182,182,175,182,161,196,196,161,168,161,147,175,266,154,147,140,196,182,196,182,252
2014,168,203,133,182,154,161,210,189,182,224,182,189,168,168,161,175,140,168,133,224,189,210,175,203
2015,196,203,105,175,133,154,203,147,154,217,147,210,168,182,147,217,168,161,105,189,182,161,154,168
2016,217,224,154,175,154,182,224,161,203,217,161,168,161,196,182,182,154,189,126,189,217,182,217,210
2017,224,203,154,203,224,189,168,189,168,196,168,182,196,161,189,203,210,175,133,266,133,126,182,196
2018,189,196,126,210,140,147,224,140,168,238,154,203,168,182,154,154,182,168,133,210,210,182,238,238
